,avg_tem,sell,age
0,1.0,398337.54604066,20
1,2.0,385321.77222972,20
2,3.0,380376.08299958,20
3,4.0,408401.14726642804,20
4,5.0,417160.1229206,20
5,6.0,370555.8289889433,20
6,7.0,417631.068366512,20
7,8.0,457655.334883085,20
8,9.0,434247.7713255078,20
9,10.0,457676.01903297857,20
10,11.0,445405.9632764114,20
11,12.0,447866.2885375586,20
12,13.0,484151.7315683517,20
13,14.0,487580.94598029164,20
14,15.0,486552.1816576,20
15,16.0,485527.2275717033,20
16,17.0,506818.838828675,20
17,18.0,553559.03125717,20
18,19.0,505097.3731939,20
19,20.0,515836.148635504,20
20,21.0,519990.83240670664,20
21,22.0,444662.4225015,20
22,23.0,551440.53880038,20
