,avg_tem,sell,sex
0,1.0,523702.00444872,F
1,2.0,501793.1345974,F
2,3.0,497060.8187094,F
3,4.0,503873.524673106,F
4,5.0,541065.260084155,F
5,6.0,461214.09739363,F
6,7.0,523747.727306782,F
7,8.0,581865.2911051,F
8,9.0,551723.3431475877,F
9,10.0,583362.7147315014,F
10,11.0,576827.61183848,F
11,12.0,571249.4230631528,F
12,13.0,617747.574643595,F
13,14.0,614955.9400969583,F
14,15.0,656248.7619284249,F
15,16.0,627283.3308667233,F
16,17.0,634725.9962189017,F
17,18.0,719990.23736149,F
18,19.0,649101.517048108,F
19,20.0,656289.150454082,F
20,21.0,662595.3487491166,F
21,22.0,536649.19397124,F
22,23.0,663499.64529087,F
